TP	FP	FN	accuracy	precision	recall	f1	veh_length
232	38	105	0.6884	0.8593	0.6884	0.7644	16
246	32	91	0.73	0.8849	0.73	0.8	17
255	33	82	0.7567	0.8854	0.7567	0.816	18
257	31	80	0.7626	0.8924	0.7626	0.8224	19
260	29	77	0.7715	0.8997	0.7715	0.8307	20
258	30	79	0.7656	0.8958	0.7656	0.8256	21
252	34	85	0.7478	0.8811	0.7478	0.809	22
245	41	92	0.727	0.8566	0.727	0.7865	23
