file	adv	stop	volume_15	OccTime	HeadwayFoll	GapFoll	HeadwayLead	arrival_time	volume_cycle	travel_time	is_lane_M	is_lane_R	SCA_GY	SCA_YR	SCA_YY	car_follow
20230101_09	100173	200174.0	53.0	0.3	47.0	46.4	20.2	1.6	4.0	6.3	0	1	0	0	1	0
20230101_09	100185	200186.0	74.0	0.4	67.2	66.5	38.2	3.2	8.0	6.8	0	1	0	1	0	0
20230101_09	100270	200271.0	74.0	0.4	12.7	12.4	62.4	-1.3	9.0	5.3	0	1	0	0	0	0
20230101_09	100320	200321.0	74.0	0.3	15.6	15.3	73.6	-1.5	15.0	5.4	1	0	0	0	0	0
20230101_09	100402	200404.0	85.0	0.3	37.8	37.5	1.8	-2.7	4.0	3.8	0	1	0	0	0	0
20230101_09	100403	200405.0	85.0	0.2	1.8	1.5	5.8	-0.9	4.0	3.7	0	1	0	0	0	0
20230101_10	100281	200283.0	83.0	0.4	79.7	79.2	3.7	-2.3	6.0	4.9	0	1	0	0	0	0
20230101_10	100282	200284.0	83.0	0.4	3.7	3.3	51.8	1.4	6.0	9.1	0	1	0	0	1	0
20230101_10	100293	200294.0	83.0	0.3	113.2	113.0	12.4	0.4	13.0	4.3	1	0	0	0	1	0
20230101_10	100483	200484.0	89.0	0.4	43.9	43.1	30.9	-1.7	17.0	4.1	0	0	0	0	0	0
20230101_10	100526	200527.0	89.0	0.5	81.2	80.8	20.4	-4.2	14.0	3.8	0	0	0	0	0	0
20230101_11	100050	200052.0	87.0	0.4	42.1	41.7	61.4	-4.7	7.0	5.1	0	1	0	0	0	0
20230101_11	100192	200193.0	90.0	0.5	41.9	41.4	23.2	-2.1	11.0	4.0	0	0	0	0	0	0
20230101_11	100229	200230.0	90.0	0.7	135.3	135.1	49.0	0.0	7.0	4.0	0	0	1	0	0	0
20230101_11	100321	200322.0	96.0	0.6	61.9	61.1	17.2	-0.4	6.0	4.0	0	0	1	0	0	0
20230101_11	100352	200353.0	96.0	0.8	31.7	31.4	46.4	-4.8	17.0	4.4	0	0	0	0	0	0
20230101_11	100436	200440.0	96.0	0.4	6.1	5.8	32.1	-2.6	20.0	3.8	0	0	0	0	0	0
20230101_11	100519	200523.0	111.0	0.4	49.0	48.0	2.5	-4.0	16.0	4.6	0	0	0	0	0	0
20230101_11	100521	200524.0	111.0	0.4	2.5	2.1	87.0	-1.5	16.0	4.4	0	0	0	0	0	0
20230101_11	100567	200568.0	111.0	0.3	4.0	3.8	8.7	-3.7	11.0	4.1	0	1	0	0	0	0
20230101_11	100639	200641.0	111.0	0.3	23.2	23.0	25.0	-0.5	13.0	4.0	0	1	0	0	0	0
20230101_11	100640	200642.0	111.0	0.3	24.0	23.7	34.6	0.9	11.0	3.5	1	0	0	0	1	0
20230101_11	100659	200661.0	111.0	0.3	12.1	11.8	17.6	0.8	21.0	5.1	0	1	0	0	1	0
20230101_11	100660	200662.0	111.0	0.5	57.7	57.2	13.5	2.5	21.0	7.5	0	0	0	0	1	0
20230101_12	100022	200023.0	105.0	0.5	40.4	40.0	26.1	-4.6	15.0	6.2	1	0	0	0	0	0
20230101_12	100075	200077.0	105.0	0.4	31.7	31.0	18.0	-2.3	14.0	4.4	1	0	0	0	0	0
20230101_12	100184	200185.0	105.0	0.4	20.5	20.0	52.4	-2.3	16.0	4.2	0	1	0	0	0	0
20230101_12	100210	200212.0	121.0	0.3	72.8	72.3	24.7	-4.6	12.0	4.4	1	0	0	0	0	0
20230101_12	100211	200213.0	121.0	0.3	19.0	18.5	19.4	-1.0	12.0	4.0	0	1	0	0	0	0
20230101_12	100312	200313.0	121.0	0.4	20.1	19.7	34.1	-5.4	15.0	4.7	0	0	0	0	0	0
20230101_12	100326	200328.0	121.0	0.4	18.3	17.9	21.5	-3.5	9.0	4.9	0	1	0	0	0	0
20230101_12	100327	200329.0	121.0	1.0	19.7	19.0	18.4	-1.1	9.0	5.2	0	0	0	0	0	0
20230101_12	100486	200489.0	123.0	0.4	4.6	4.1	8.5	-3.3	20.0	4.2	0	0	0	0	0	0
20230101_12	100488	200492.0	123.0	0.3	7.0	6.7	2.7	-1.1	20.0	4.1	1	0	0	0	0	0
20230101_12	100490	200495.0	123.0	0.4	14.1	13.8	55.0	1.2	11.0	7.6	0	1	0	0	1	0
20230101_12	100491	200494.0	123.0	0.3	2.7	2.4	35.0	1.6	11.0	6.7	1	0	0	0	1	0
20230101_12	100752	200754.0	126.0	0.4	18.5	18.1	20.2	-0.5	12.0	6.6	1	0	0	0	0	0
20230101_12	100767	200768.0	126.0	0.6	27.6	27.1	24.1	-5.8	9.0	6.2	0	0	0	0	0	0
20230101_14	100054	200056.0	138.0	0.4	43.7	43.2	30.2	-5.5	17.0	4.9	0	1	0	0	0	0
20230101_14	100055	200057.0	138.0	0.3	30.0	29.3	26.0	-3.3	17.0	3.9	1	0	0	0	0	0
