file	adv	stop	volume_adv_15	Lane_adv	AIY_adv	TUY_adv	SCA_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	HeadwayLead_adv	GapLead_adv	arrival_time_adv	volume_adv_cycle_adv	AIY_stop	TUY_stop	SCA_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	HeadwayLead_stop	GapLead_stop	arrival_time_stop	volume_adv_cycle_stop	travel_time
20230104_15	101002	201005.0	319.0	R	147.9	2.1	GG	0.2	5.7	5.4	7.6	7.4	-2.1	52.0	1.9	148.1	YY	0.8	5.6	4.8	11.1	10.3	1.9	72.0	4.0
20230104_15	101003	201007.0	319.0	M	148.9	1.1	GG	0.3	35.1	34.6	4.4	4.1	-1.1	52.0	2.4	147.6	YY	0.7	29.6	28.5	7.6	6.9	2.4	72.0	3.5
20230104_15	101008	201016.0	319.0	L	3.2	146.8	YY	0.3	5.6	5.1	2.1	1.8	3.2	72.0	10.3	139.7	RG	62.6	8.4	7.6	64.3	1.7	10.3	72.0	7.1
20230104_15	101009	201015.0	319.0	M	3.3	146.7	YR	0.8	4.4	4.1	3.8	3.0	3.3	72.0	10.0	140.0	RG	64.2	7.6	6.9	65.7	1.5	10.0	72.0	6.7
20230104_15	101128	201138.0	319.0	R	145.1	4.9	GG	0.3	2.8	2.5	1.1	0.8	-4.9	72.0	149.4	0.6	GY	0.9	3.6	2.8	1.2	0.3	-0.6	72.0	4.3
20230104_15	101130	201140.0	319.0	R	146.2	3.8	GG	0.3	1.1	0.8	3.2	2.9	-3.8	72.0	0.6	149.4	YY	0.7	1.2	0.3	3.4	2.7	0.6	45.0	4.4
20230104_15	101137	201146.0	319.0	R	149.4	0.6	GG	0.4	3.2	2.9	2.1	1.7	-0.6	72.0	4.0	146.0	RR	0.8	3.4	2.7	3.5	2.7	4.0	45.0	4.6
20230104_15	101143	201149.0	319.0	R	1.5	148.5	YY	0.4	2.1	1.7	24.9	24.5	1.5	45.0	7.5	142.5	RG	80.6	3.5	2.7	82.3	1.7	7.5	45.0	6.0
20230104_15	101226	201230.0	330.0	L	149.5	0.5	GG	0.5	19.4	19.0	19.1	18.6	-0.5	45.0	6.3	143.7	RG	86.9	43.1	42.2	87.7	0.8	6.3	48.0	6.8
20230104_15	101227	201232.0	330.0	M	1.1	148.9	YY	0.4	39.0	38.7	5.5	5.1	1.1	48.0	8.6	141.4	RG	83.2	42.0	41.1	84.1	0.9	8.6	48.0	7.5
20230104_15	101449	201459.0	330.0	M	144.9	5.1	GG	0.4	5.4	4.7	2.4	2.0	-5.1	77.0	149.4	0.6	GY	0.9	5.1	3.8	2.5	1.6	-0.6	77.0	4.5
20230104_15	101454	201464.0	330.0	M	147.3	2.7	GG	0.3	2.4	2.0	1.8	1.5	-2.7	77.0	1.9	148.1	YY	0.9	2.5	1.6	1.7	0.8	1.9	62.0	4.6
20230104_15	101458	201468.0	330.0	M	149.1	0.9	GG	0.3	1.8	1.5	2.8	2.5	-0.9	77.0	3.6	146.4	YR	0.8	1.7	0.8	8.0	7.2	3.6	62.0	4.5
20230104_15	101463	201473.0	330.0	M	1.9	148.1	YY	1.0	2.8	2.5	17.0	16.0	1.9	62.0	11.6	138.4	RG	82.0	8.0	7.2	82.5	0.5	11.6	62.0	9.7
20230104_15	101678	201681.0	330.0	R	2.4	147.6	YY	0.4	20.1	19.5	3.5	3.1	2.4	54.0	9.4	140.6	RG	71.2	20.3	19.1	71.8	0.6	9.4	54.0	7.0
20230104_15	101851	201859.0	279.0	M	145.8	4.2	GG	0.4	38.0	37.2	3.6	3.2	-4.2	49.0	149.9	0.1	GY	0.9	11.0	10.5	3.7	2.8	-0.1	49.0	4.1
20230104_15	101853	201861.0	279.0	R	146.6	3.4	GG	0.6	29.7	29.0	2.3	1.7	-3.4	49.0	0.6	149.4	YY	1.8	24.6	23.2	2.6	0.8	0.6	49.0	4.0
20230104_15	101856	201865.0	279.0	R	148.9	1.1	GG	0.3	2.3	1.7	5.3	5.0	-1.1	49.0	3.2	146.8	YR	0.8	2.6	0.8	8.9	8.1	3.2	49.0	4.3
20230104_15	101858	201866.0	279.0	M	149.4	0.6	GG	0.3	3.6	3.2	1.5	1.2	-0.6	49.0	3.6	146.4	YR	0.8	3.7	2.8	1.4	0.6	3.6	49.0	4.2
20230104_15	101862	201870.0	279.0	M	0.9	149.1	YY	0.3	1.5	1.2	1.8	1.5	0.9	49.0	5.0	145.0	RR	0.8	1.4	0.6	4.1	3.3	5.0	49.0	4.1
20230104_15	101863	201873.0	279.0	M	2.7	147.3	YY	0.4	1.8	1.5	1.6	1.2	2.7	49.0	9.1	140.9	RG	88.9	4.1	3.3	97.5	8.6	9.1	49.0	6.4
20230104_15	102045	202047.0	279.0	R	0.1	141.8	YY	0.3	16.3	15.9	3.4	3.1	0.1	40.0	5.7	136.2	RG	73.2	10.2	9.0	73.4	0.2	5.7	40.0	5.6
20230104_15	102131	202137.0	279.0	M	1.9	156.2	YY	0.3	16.4	16.1	13.1	12.8	1.9	62.0	8.9	149.2	RG	102.8	19.2	18.4	105.2	2.4	8.9	62.0	7.0
20230104_15	102241	202246.0	279.0	R	154.2	3.9	GG	0.3	5.3	4.9	7.0	6.7	-3.9	62.0	0.7	189.8	YY	0.9	4.5	3.4	10.9	10.0	0.7	68.0	4.6
20230104_15	102248	202253.0	279.0	R	3.1	187.4	YY	0.4	7.0	6.7	18.3	17.9	3.1	68.0	11.6	178.9	RG	90.9	10.9	10.0	91.6	0.7	11.6	68.0	8.5
20230104_16	100078	200087.0	303.0	M	101.3	5.8	GG	0.3	6.5	6.1	2.4	2.1	-5.8	43.0	106.2	0.9	GY	0.9	6.4	5.4	2.5	1.6	-0.9	43.0	4.9
20230104_16	100079	200088.0	303.0	R	101.5	5.6	GG	0.4	1.4	1.0	2.4	2.0	-5.6	43.0	106.3	0.8	GY	0.9	1.3	0.4	2.5	1.6	-0.8	43.0	4.8
20230104_16	100080	200089.0	303.0	L	102.4	4.7	GG	0.7	2.5	1.9	8.5	7.8	-4.7	43.0	0.1	72.5	YY	0.9	2.8	1.9	12.3	11.4	0.1	33.0	4.8
20230104_16	100082	200090.0	303.0	M	103.7	3.4	GG	0.3	2.4	2.1	1.8	1.5	-3.4	43.0	1.6	71.0	YY	1.0	2.5	1.6	1.7	0.7	1.6	33.0	5.0
20230104_16	100083	200091.0	303.0	R	103.9	3.2	GG	0.3	2.4	2.0	6.2	5.9	-3.2	43.0	1.7	70.9	YY	1.0	2.5	1.6	8.7	7.7	1.7	33.0	4.9
20230104_16	100086	200093.0	303.0	M	105.5	1.6	GG	0.4	1.8	1.5	39.2	38.8	-1.6	43.0	3.3	69.3	YR	0.9	1.7	0.7	38.7	37.8	3.3	33.0	4.9
20230104_16	100092	200096.0	303.0	R	3.0	69.6	YY	0.3	6.2	5.9	2.5	2.2	3.0	33.0	10.4	62.2	RG	15.8	8.7	7.7	16.1	0.3	10.4	33.0	7.4
20230104_16	100151	200158.0	303.0	R	72.4	0.2	GY	0.4	4.2	3.8	43.8	43.4	-0.2	33.0	5.9	168.7	RG	104.1	4.5	3.3	104.6	0.5	5.9	60.0	6.1
20230104_16	100263	200265.0	303.0	L	172.2	2.4	GG	0.5	2.8	2.3	27.3	26.8	-2.4	60.0	2.3	169.7	YY	1.0	7.1	5.4	34.2	33.2	2.3	55.0	4.7
20230104_16	100363	200365.0	303.0	M	170.4	1.6	GG	0.2	11.0	10.7	37.0	36.8	-1.6	55.0	1.9	148.1	YY	0.7	10.5	9.8	28.9	28.2	1.9	40.0	3.5
20230104_16	100364	200366.0	303.0	R	170.9	1.1	GG	0.3	4.5	4.2	25.5	25.2	-1.1	55.0	3.1	146.9	YR	0.8	6.2	5.3	20.8	20.0	3.1	40.0	4.2
20230104_16	100525	200530.0	325.0	L	146.7	3.3	GG	0.7	9.0	8.6	4.9	4.2	-3.3	53.0	1.3	148.7	YY	1.2	9.4	8.6	8.2	7.0	1.3	70.0	4.6
20230104_16	100652	200656.0	325.0	L	146.6	3.4	GG	0.7	4.0	3.1	2.4	1.7	-3.4	70.0	150.0	0.0	GY	1.0	1.9	0.9	2.9	1.9	0.0	70.0	3.4
20230104_16	100654	200658.0	325.0	L	149.0	1.0	GG	0.6	2.4	1.7	2.5	1.9	-1.0	70.0	2.9	147.1	YR	1.1	2.9	1.9	3.2	2.1	2.9	46.0	3.9
20230104_16	100657	200660.0	325.0	L	1.5	148.5	YY	1.0	2.5	1.9	4.8	3.8	1.5	46.0	6.1	143.9	RG	90.3	3.2	2.1	92.1	1.8	6.1	46.0	4.6
20230104_16	100744	200745.0	325.0	M	0.3	149.7	YY	0.3	6.3	6.1	4.8	4.5	0.3	57.0	3.9	146.1	RR	0.7	7.0	6.3	8.5	7.8	3.9	57.0	3.6
20230104_16	100850	200859.0	325.0	R	1.9	148.1	YY	0.3	2.3	2.0	4.2	3.9	1.9	63.0	9.0	141.0	RG	75.4	20.0	19.1	76.3	0.9	9.0	63.0	7.1
20230104_16	100961	200966.0	325.0	R	146.3	3.7	GG	0.3	5.3	5.0	5.6	5.3	-3.7	63.0	1.0	149.0	YY	1.1	6.1	5.3	7.9	6.8	1.0	54.0	4.7
20230104_16	100964	200970.0	325.0	L	148.1	1.9	GG	1.4	4.8	4.3	5.9	4.5	-1.9	63.0	5.1	144.9	RG	95.4	7.2	6.2	95.8	0.4	5.1	54.0	7.0
20230104_16	100967	200972.0	325.0	M	1.0	149.0	YY	0.3	7.2	6.7	25.9	25.6	1.0	54.0	7.8	142.2	RG	89.8	8.4	7.2	90.7	0.9	7.8	54.0	6.8
20230104_16	100968	200973.0	325.0	R	1.9	148.1	YY	0.4	5.6	5.3	22.7	22.3	1.9	54.0	8.9	141.1	RG	88.1	7.9	6.8	88.8	0.7	8.9	54.0	7.0
20230104_16	101065	201067.0	325.0	L	144.6	5.4	GG	0.7	1.8	0.9	23.1	22.4	-5.4	54.0	0.2	149.8	YY	1.2	1.9	0.8	26.2	25.0	0.2	32.0	5.6
20230104_16	101203	201204.0	269.0	M	145.5	4.5	GG	0.3	28.7	28.4	11.7	11.4	-4.5	43.0	149.5	0.5	GY	0.8	28.0	27.0	13.7	12.9	-0.5	43.0	4.0
20230104_16	101292	201303.0	269.0	M	2.1	147.9	YY	0.4	2.3	2.0	2.7	2.3	2.1	59.0	9.1	140.9	RG	91.0	4.7	3.9	91.1	0.1	9.1	59.0	7.0
20230104_16	101395	201402.0	269.0	M	144.1	5.9	GG	0.4	3.3	2.9	7.1	6.7	-5.9	59.0	149.4	0.6	GY	1.3	3.4	2.0	12.4	11.1	-0.6	59.0	5.3
20230104_16	101397	201403.0	269.0	L	145.8	4.2	GG	0.4	3.3	2.9	10.4	10.0	-4.2	59.0	1.0	149.0	YY	1.1	2.9	1.9	13.9	12.8	1.0	48.0	5.2
20230104_16	101399	201405.0	269.0	R	146.2	3.8	GG	0.4	5.0	4.6	8.1	7.7	-3.8	59.0	1.3	148.7	YY	1.2	4.5	3.1	11.7	10.5	1.3	48.0	5.1
20230104_16	101404	201410.0	269.0	M	1.2	148.8	YY	1.1	7.1	6.7	6.0	4.9	1.2	48.0	11.8	138.2	RG	95.1	12.4	11.1	95.4	0.3	11.8	48.0	10.6
20230104_16	101861	201863.0	260.0	M	147.7	2.3	GG	0.4	22.2	21.7	25.1	24.7	-2.3	27.0	2.1	147.9	YY	1.0	23.7	20.0	28.2	27.2	2.1	59.0	4.4
20230104_16	101955	201965.0	260.0	M	144.8	5.2	GG	0.4	2.0	1.6	3.5	3.1	-5.2	59.0	149.4	0.6	GY	2.0	3.6	1.6	8.0	6.0	-0.6	59.0	4.6
20230104_17	100070	200072.0	275.0	M	1.8	148.2	YY	0.4	27.2	26.9	10.2	9.8	1.8	62.0	10.0	140.0	RG	84.2	30.8	29.9	86.3	2.1	10.0	62.0	8.2
20230104_17	100365	200369.0	275.0	M	144.2	5.8	GG	0.8	3.6	2.7	5.0	4.2	-5.8	41.0	148.6	1.4	GY	1.5	2.5	0.6	3.9	2.4	-1.4	41.0	4.4
20230104_17	100723	200724.0	292.0	R	1.0	149.0	YY	0.4	21.5	21.2	21.3	20.9	1.0	57.0	7.2	142.8	RG	83.5	22.9	22.0	83.9	0.4	7.2	57.0	6.2
20230104_17	101050	201052.0	281.0	L	148.7	1.3	GG	0.3	38.2	37.3	1.9	1.6	-1.3	56.0	3.6	146.4	RR	0.9	46.6	45.0	15.7	14.8	3.6	50.0	4.9
20230104_17	101130	201137.0	281.0	L	146.2	3.8	GG	0.3	12.5	12.2	1.8	1.5	-3.8	50.0	0.8	149.2	YY	0.9	48.4	47.0	1.9	1.0	0.8	54.0	4.6
20230104_17	101133	201142.0	281.0	L	148.0	2.0	GG	0.4	1.8	1.5	1.5	1.1	-2.0	50.0	2.7	147.3	YR	1.0	1.9	1.0	2.8	1.8	2.7	54.0	4.7
20230104_17	101135	201146.0	281.0	L	149.5	0.5	GG	0.4	1.5	1.1	2.4	2.0	-0.5	50.0	5.5	144.5	RG	95.1	2.8	1.8	96.0	0.9	5.5	54.0	6.0
20230104_17	101139	201151.0	281.0	R	1.3	148.7	YY	0.4	9.5	9.2	2.6	2.2	1.3	54.0	9.6	140.4	RG	93.0	7.5	6.6	93.7	0.7	9.6	54.0	8.3
20230104_17	101461	201468.0	244.0	L	145.1	4.9	GG	0.4	2.3	2.0	4.6	4.2	-4.9	51.0	149.6	0.4	GY	0.9	2.5	1.6	6.2	5.3	-0.4	51.0	4.5
20230104_17	101464	201472.0	244.0	R	146.5	3.5	GG	0.5	3.0	2.6	3.3	2.8	-3.5	51.0	1.6	148.4	YY	1.0	2.6	1.6	4.8	3.8	1.6	42.0	5.1
20230104_17	101469	201473.0	244.0	L	149.7	0.3	GY	0.3	4.6	4.2	1.3	1.0	-0.3	51.0	5.8	144.2	RG	85.8	6.2	5.3	87.3	1.5	5.8	42.0	6.1
20230104_17	101470	201475.0	244.0	R	149.8	0.2	GY	0.4	3.3	2.8	77.2	76.8	-0.2	51.0	6.4	143.6	RG	83.0	4.8	3.8	84.3	1.3	6.4	42.0	6.6
20230104_17	101547	201552.0	244.0	M	144.9	5.1	GG	0.4	6.5	6.1	1.4	1.0	-5.1	42.0	149.9	0.1	GY	0.9	6.5	5.5	1.5	0.6	-0.1	42.0	5.0
20230104_17	101549	201553.0	244.0	M	146.3	3.7	GG	0.5	1.4	1.0	32.5	32.0	-3.7	42.0	1.4	148.6	YY	0.9	1.5	0.6	35.5	34.6	1.4	38.0	5.1
20230104_17	101550	201555.0	244.0	L	147.3	2.7	GG	0.3	4.9	4.6	8.6	8.3	-2.7	42.0	2.8	147.2	YY	0.6	5.5	4.5	9.8	9.2	2.8	38.0	5.5
20230104_17	101781	201788.0	244.0	L	147.7	2.3	GG	0.3	29.7	29.3	1.8	1.5	-2.3	52.0	2.3	147.7	YY	0.9	33.4	32.0	1.3	0.4	2.3	39.0	4.6
20230104_17	101784	201790.0	244.0	L	149.5	0.5	GG	0.2	1.8	1.5	7.6	7.4	-0.5	52.0	3.6	146.4	YR	0.8	1.3	0.4	12.6	11.8	3.6	39.0	4.1
20230104_18	100132	200139.0	278.0	R	145.1	4.9	GG	0.3	47.3	46.9	1.9	1.6	-4.9	30.0	149.4	0.6	GY	0.9	46.6	45.5	2.1	1.2	-0.6	30.0	4.3
20230104_18	100133	200138.0	278.0	M	145.4	4.6	GG	0.3	70.1	69.5	2.0	1.7	-4.6	30.0	149.4	0.6	GY	0.8	64.7	62.9	1.9	1.1	-0.6	30.0	4.0
20230104_18	100135	200144.0	278.0	R	147.0	3.0	GG	0.4	1.9	1.6	4.1	3.7	-3.0	30.0	1.5	148.5	YY	1.0	2.1	1.2	7.5	6.5	1.5	65.0	4.5
20230104_18	100136	200143.0	278.0	M	147.4	2.6	GG	0.3	2.0	1.7	6.7	6.4	-2.6	30.0	1.3	148.7	YY	0.8	1.9	1.1	9.4	8.6	1.3	65.0	3.9
20230104_18	100140	200150.0	278.0	L	0.1	149.9	YY	0.5	3.5	3.1	1.9	1.4	0.1	65.0	6.4	143.6	RG	83.2	5.9	5.1	84.4	1.2	6.4	65.0	6.3
20230104_18	100402	200403.0	278.0	M	146.3	3.7	GG	0.3	34.6	34.1	6.6	6.3	-3.7	44.0	0.1	149.9	YY	0.8	33.3	30.7	8.8	8.0	0.1	64.0	3.8
20230104_18	100404	200405.0	278.0	M	2.9	147.1	YY	0.3	6.6	6.3	22.1	21.8	2.9	64.0	8.9	141.1	RG	82.2	8.8	8.0	83.1	0.9	8.9	64.0	6.0
20230104_18	100517	200521.0	227.0	L	146.3	3.7	GG	0.4	2.8	2.4	1.5	1.1	-3.7	64.0	1.3	148.7	YY	0.9	2.7	1.7	14.2	13.3	1.3	40.0	5.0
20230104_18	100598	200599.0	227.0	R	146.4	3.6	GG	0.4	8.6	8.3	19.6	19.2	-3.6	40.0	1.1	148.9	YY	1.0	7.7	6.5	22.3	21.3	1.1	36.0	4.7
20230104_18	100671	200673.0	227.0	M	1.9	148.1	YY	0.3	15.7	15.4	22.3	22.0	1.9	26.0	8.5	141.5	RG	76.1	18.2	17.4	77.3	1.2	8.5	26.0	6.6
20230104_18	100789	200795.0	227.0	M	144.6	5.4	GG	0.3	1.5	1.1	68.6	68.3	-5.4	46.0	150.0	0.0	GY	1.0	1.6	0.5	73.6	72.6	0.0	46.0	5.4
20230104_18	100796	200797.0	227.0	L	150.0	0.0	GY	0.8	8.6	8.3	28.4	27.6	0.0	46.0	8.4	141.6	RG	91.1	12.7	11.8	93.5	2.4	8.4	27.0	8.4
20230104_18	100845	200847.0	227.0	R	146.1	3.9	GG	0.3	7.4	7.2	3.2	2.9	-3.9	27.0	0.8	122.0	YY	0.9	7.0	5.9	4.7	3.8	0.8	31.0	4.7
20230104_18	100846	200849.0	227.0	R	149.3	0.7	GG	0.4	3.2	2.9	3.7	3.3	-0.7	27.0	5.5	117.3	RG	91.8	4.7	3.8	92.2	0.4	5.5	31.0	6.2
20230104_18	100899	200900.0	203.0	R	120.4	2.4	GG	0.3	13.1	12.4	32.5	32.2	-2.4	31.0	1.6	115.4	YY	0.7	9.5	8.4	18.3	17.6	1.6	23.0	4.0
20230104_18	100937	200938.0	203.0	R	2.0	86.9	YY	0.4	12.5	12.2	11.4	11.0	2.0	13.0	8.4	80.5	RG	72.8	14.0	13.1	74.2	1.4	8.4	13.0	6.4
20230104_18	100956	200958.0	203.0	L	86.1	2.8	GG	0.8	45.4	43.4	5.6	4.8	-2.8	13.0	1.8	106.2	YY	0.9	7.5	5.4	10.8	9.9	1.8	23.0	4.6
20230104_18	100957	200959.0	203.0	R	87.7	1.2	GG	0.3	44.3	43.9	4.2	3.9	-1.2	13.0	2.7	105.3	YY	0.8	6.3	4.4	6.9	6.1	2.7	23.0	3.9
20230104_18	100961	200969.0	203.0	R	3.0	105.0	YY	0.4	4.2	3.9	2.2	1.8	3.0	23.0	9.6	98.4	RG	56.8	6.9	6.1	57.3	0.5	9.6	23.0	6.6
20230104_18	101001	201005.0	203.0	R	3.0	113.1	YY	0.4	13.7	13.2	3.7	3.3	3.0	31.0	10.4	105.7	RG	77.0	11.2	10.0	77.5	0.5	10.4	31.0	7.4
20230104_18	101157	201163.0	203.0	L	114.0	2.1	GG	0.4	5.6	5.0	3.4	3.0	-2.1	33.0	2.4	114.6	YY	0.9	5.2	4.3	6.1	5.2	2.4	30.0	4.5
20230104_18	101158	201165.0	203.0	M	114.8	1.3	GG	0.4	9.0	8.6	7.0	6.6	-1.3	33.0	3.4	113.6	YR	0.9	9.3	8.4	6.9	6.0	3.4	30.0	4.7
20230104_18	101161	201169.0	203.0	L	1.3	115.7	YY	0.5	3.4	3.0	1.9	1.4	1.3	30.0	8.5	108.5	RG	79.3	6.1	5.2	80.0	0.7	8.5	30.0	7.2
20230104_18	101265	201267.0	203.0	L	111.4	5.6	GG	0.4	7.7	7.1	30.0	29.6	-5.6	26.0	116.6	0.4	GY	1.0	10.5	9.5	33.2	32.2	-0.4	26.0	5.2
20230104_18	101268	201270.0	203.0	M	2.4	114.6	YY	0.4	26.5	25.9	23.1	22.7	2.4	27.0	10.1	106.9	RG	83.4	13.2	12.4	89.1	5.7	10.1	27.0	7.7
20230104_18	101402	201405.0	174.0	M	3.4	96.6	YR	0.3	40.3	39.7	10.2	9.9	3.4	17.0	10.9	89.1	RG	54.7	28.1	26.8	55.2	0.5	10.9	17.0	7.5
20230104_19	100054	200056.0	192.0	R	98.4	5.0	GG	0.7	4.6	3.8	15.4	14.7	-5.0	32.0	1.7	98.3	YY	1.2	4.5	3.5	18.1	16.9	1.7	14.0	6.7
20230104_19	100279	200284.0	192.0	R	113.4	3.6	GG	0.3	3.3	2.9	2.4	2.1	-3.6	39.0	2.2	114.8	YY	1.0	3.4	2.3	3.1	2.1	2.2	10.0	5.8
20230104_19	100280	200283.0	192.0	L	113.6	3.4	GG	0.5	19.4	18.2	53.3	52.8	-3.4	39.0	1.7	115.3	YY	1.2	15.7	14.2	63.9	62.7	1.7	10.0	5.1
20230104_19	100281	200285.0	192.0	R	115.8	1.2	GG	0.4	2.4	2.1	15.2	14.8	-1.2	39.0	5.3	111.7	RG	83.0	3.1	2.1	84.1	1.1	5.3	10.0	6.5
20230104_19	100412	200414.0	181.0	M	2.1	97.9	YY	0.4	12.5	11.9	44.7	44.3	2.1	20.0	8.5	91.5	RG	69.6	12.2	11.2	70.1	0.5	8.5	20.0	6.4
20230104_19	100442	200444.0	181.0	M	97.5	2.5	GG	0.2	24.9	24.5	13.8	13.6	-2.5	20.0	0.8	99.2	YY	0.6	19.6	18.0	17.6	17.0	0.8	28.0	3.3
20230104_19	100443	200446.0	181.0	R	0.5	99.5	YY	0.4	14.4	13.9	9.0	8.6	0.5	28.0	6.0	94.0	RG	71.1	14.0	12.9	71.8	0.7	6.0	28.0	5.5
20230104_19	100664	200666.0	181.0	L	124.1	4.6	GG	0.4	7.9	7.5	11.0	10.6	-4.6	29.0	128.5	0.2	GY	0.9	7.9	7.0	73.1	72.2	-0.2	29.0	4.4
20230104_19	100667	200670.0	155.0	M	3.0	114.0	YY	0.3	10.2	9.9	56.6	56.3	3.0	26.0	8.9	108.1	RG	73.5	12.6	11.9	76.1	2.6	8.9	26.0	5.9
20230104_19	100698	200709.0	155.0	M	111.7	5.3	GG	0.3	3.9	3.5	3.1	2.8	-5.3	26.0	116.6	0.4	GY	0.9	3.8	2.8	2.5	1.6	-0.4	26.0	4.9
20230104_19	100705	200714.0	155.0	M	114.8	2.2	GG	0.3	3.1	2.8	2.9	2.6	-2.2	26.0	2.1	99.8	YY	0.8	2.5	1.6	4.2	3.4	2.1	22.0	4.3
20230104_19	100712	200721.0	155.0	M	0.7	101.2	YY	0.3	2.9	2.6	4.5	4.2	0.7	22.0	6.3	95.6	RG	76.0	4.2	3.4	77.8	1.8	6.3	22.0	5.6
20230104_19	100797	200802.0	155.0	R	104.0	3.7	GG	0.3	6.5	6.3	2.6	2.3	-3.7	18.0	0.2	99.8	YY	0.8	7.1	6.5	2.6	1.8	0.2	19.0	3.9
20230104_19	100800	200807.0	155.0	R	106.6	1.1	GG	0.3	2.6	2.3	4.6	4.3	-1.1	18.0	2.8	97.2	YY	0.7	2.6	1.8	7.0	6.3	2.8	19.0	3.9
20230104_19	100801	200806.0	155.0	M	106.9	0.8	GG	0.3	4.2	4.0	2.9	2.6	-0.8	18.0	2.8	97.2	YY	0.7	4.7	4.1	4.7	4.0	2.8	19.0	3.6
20230104_19	100808	200811.0	155.0	R	3.5	96.5	YR	0.3	4.6	4.3	5.3	5.0	3.5	19.0	9.8	90.2	RG	69.9	7.0	6.3	70.0	0.1	9.8	19.0	6.3
20230104_19	100834	200835.0	155.0	L	97.8	2.2	GG	0.3	41.5	40.8	36.5	36.2	-2.2	19.0	2.0	88.0	YY	0.8	20.2	18.7	41.1	40.3	2.0	12.0	4.2
20230104_19	100852	200855.0	155.0	M	3.5	102.9	YR	0.3	51.8	51.2	6.0	5.7	3.5	26.0	9.8	96.6	RG	32.8	53.8	37.6	38.0	5.2	9.8	26.0	6.3
20230104_19	100923	200924.0	155.0	L	1.8	89.9	YY	0.9	33.9	33.4	19.7	18.8	1.8	15.0	9.9	81.8	RG	66.1	44.1	43.1	67.8	1.7	9.9	15.0	8.1
20230104_19	101092	201098.0	154.0	L	100.5	4.5	GG	0.5	41.6	41.2	3.7	3.2	-4.5	14.0	104.4	0.6	GY	0.8	41.1	40.2	2.9	2.1	-0.6	14.0	3.9
20230104_19	101093	201100.0	154.0	M	101.0	4.0	GG	0.3	2.3	2.0	3.6	3.3	-4.0	14.0	0.1	85.1	YY	0.8	2.7	1.9	3.7	2.9	0.1	24.0	4.1
20230104_19	101096	201101.0	154.0	R	102.9	2.1	GG	0.3	4.0	3.7	6.1	5.8	-2.1	14.0	1.8	83.4	YY	0.8	4.0	3.2	8.8	8.0	1.8	24.0	3.9
20230104_19	101097	201102.0	154.0	L	104.2	0.8	GG	0.4	3.7	3.2	41.4	41.0	-0.8	14.0	2.3	82.9	YY	0.6	2.9	2.1	45.2	44.6	2.3	24.0	3.1
20230104_19	101099	201103.0	154.0	M	104.6	0.4	GG	0.3	3.6	3.3	12.9	12.6	-0.4	14.0	3.8	81.4	RR	0.7	3.7	2.9	47.2	46.5	3.8	24.0	4.2
20230104_20	100031	200033.0	146.0	R	91.4	3.6	GG	0.4	8.1	7.8	15.7	15.3	-3.6	19.0	1.6	103.4	YY	1.0	8.8	7.9	17.6	16.6	1.6	23.0	5.2
20230104_20	100032	200034.0	146.0	L	1.3	103.7	YY	0.3	49.4	48.8	47.5	47.2	1.3	23.0	7.7	97.3	RG	40.4	50.8	49.8	46.4	6.0	7.7	23.0	6.4
20230104_20	100131	200132.0	146.0	M	3.3	87.3	YR	0.4	22.9	22.5	18.3	17.9	3.3	13.0	10.5	80.1	RG	48.0	25.1	24.2	58.4	10.4	10.5	13.0	7.2
20230104_20	100213	200215.0	146.0	M	2.0	83.0	YY	0.4	13.4	13.2	7.9	7.5	2.0	7.0	9.3	75.7	RG	49.5	17.2	16.6	53.6	4.1	9.3	7.0	7.3
20230104_20	100270	200272.0	150.0	M	1.3	98.7	YY	0.3	15.6	15.3	29.0	28.7	1.3	16.0	4.6	95.4	RR	0.7	14.3	13.5	27.7	27.0	4.6	16.0	3.3
20230104_20	100271	200273.0	150.0	L	3.5	96.5	YR	0.4	13.4	12.9	21.6	21.2	3.5	16.0	11.6	88.4	RG	50.2	16.5	15.6	53.7	3.5	11.6	16.0	8.1
20230104_20	100298	200300.0	150.0	R	0.7	104.3	YY	0.2	22.1	21.8	2.1	1.9	0.7	30.0	4.1	100.9	RR	0.6	21.6	20.8	4.8	4.2	4.1	30.0	3.4
20230104_20	100299	200302.0	150.0	R	2.8	102.2	YY	0.3	2.1	1.9	4.1	3.8	2.8	30.0	8.9	96.1	RG	55.3	4.8	4.2	56.8	1.5	8.9	30.0	6.1
20230104_20	100386	200388.0	150.0	R	3.0	97.0	YY	0.4	23.4	22.9	18.6	18.2	3.0	7.0	9.1	90.9	RG	65.7	23.0	22.0	65.9	0.2	9.1	7.0	6.1
20230104_20	100398	200404.0	150.0	R	1.4	98.6	YY	0.3	79.8	79.4	2.1	1.8	1.4	24.0	7.2	92.8	RG	56.8	32.2	28.8	58.3	1.5	7.2	24.0	5.8
20230104_20	100399	200403.0	150.0	M	1.7	98.3	YY	0.3	25.4	25.0	10.2	9.9	1.7	24.0	6.9	93.1	RG	58.0	25.1	24.2	58.7	0.7	6.9	24.0	5.2
20230104_20	100455	200458.0	150.0	M	98.3	1.7	GG	0.3	44.7	44.3	10.0	9.7	-1.7	11.0	2.3	97.7	YY	0.7	40.4	38.3	15.3	14.6	2.3	21.0	4.0
