file	adv	stop	volume_adv_15	Lane_adv	AIY_adv	TUY_adv	SCA_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	HeadwayLead_adv	GapLead_adv	arrival_time_adv	volume_adv_cycle_adv	AIY_stop	TUY_stop	SCA_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	HeadwayLead_stop	GapLead_stop	arrival_time_stop	volume_adv_cycle_stop	travel_time
20230101_05	100173	200174.0	34.0	L	86.1	3.9	GG	0.5	73.3	72.9	370.3	369.8	-3.9	7.0	1.3	88.7	YY	0.9	71.0	35.2	46.1	45.2	1.3	4.0	5.2
20230101_05	100188	200189.0	34.0	M	0.0	90.0	YY	0.3	31.1	30.8	39.4	39.1	0.0	4.0	4.3	85.7	RR	0.8	31.0	30.1	40.6	39.8	4.3	4.0	4.3
20230101_05	100222	200224.0	34.0	R	1.5	51.9	YY	0.3	185.8	185.5	25.3	25.0	1.5	4.0	7.1	46.3	RG	12.2	72.0	71.2	26.9	14.7	7.1	4.0	5.6
20230101_05	100223	200225.0	34.0	M	2.1	51.3	YY	0.3	72.4	72.0	80.4	80.1	2.1	4.0	9.3	44.1	RG	10.2	74.4	73.5	78.9	68.7	9.3	4.0	7.2
20230101_06	100017	200019.0	33.0	L	92.2	2.8	GG	0.6	79.0	78.8	29.0	28.4	-2.8	3.0	1.8	103.2	YY	1.0	78.3	40.7	33.2	32.2	1.8	4.0	4.6
20230101_06	100018	200020.0	33.0	R	0.8	104.2	YY	0.4	109.1	108.8	58.3	57.9	0.8	4.0	7.3	97.7	RG	54.4	111.7	111.0	58.5	4.1	7.3	4.0	6.5
20230101_06	100025	200026.0	33.0	R	3.5	96.5	YR	0.3	49.4	48.9	10.4	10.1	3.5	5.0	10.1	89.9	RG	59.2	49.3	47.9	139.9	80.7	10.1	5.0	6.6
20230101_06	100138	200139.0	38.0	R	97.8	2.2	GG	0.3	127.4	127.1	50.3	50.0	-2.2	5.0	1.8	93.2	YY	0.8	126.9	126.1	54.4	53.6	1.8	7.0	4.0
20230101_06	100206	200207.0	39.0	L	93.5	1.5	GG	0.9	19.7	18.8	19.1	18.2	-1.5	5.0	4.7	95.4	RG	59.4	22.4	21.7	220.3	160.9	4.7	3.0	6.2
20230101_06	100250	200251.0	39.0	M	95.8	4.2	GG	0.3	9.7	9.5	27.9	27.6	-4.2	6.0	0.4	104.6	YY	0.9	10.2	9.3	31.5	30.6	0.4	6.0	4.6
20230101_07	100140	200142.0	38.0	L	98.8	1.2	GG	0.6	36.8	36.3	173.6	173.0	-1.2	4.0	6.6	93.4	RG	50.4	39.1	38.1	169.6	119.2	6.6	3.0	7.8
20230101_07	100174	200175.0	38.0	M	95.5	4.5	GG	0.3	79.5	79.2	81.8	81.5	-4.5	6.0	99.5	0.5	GY	0.9	76.5	42.7	81.7	80.8	-0.5	6.0	4.0
20230101_07	100211	200214.0	40.0	R	83.0	4.7	GG	0.4	7.7	7.4	1.3	0.9	-4.7	6.0	87.5	0.2	GY	0.9	8.3	7.5	1.3	0.4	-0.2	6.0	4.5
20230101_07	100212	200215.0	40.0	R	84.3	3.4	GG	0.3	1.3	0.9	4.9	4.6	-3.4	6.0	1.1	106.2	YY	0.9	1.3	0.4	8.2	7.3	1.1	5.0	4.5
20230101_07	100216	200218.0	40.0	R	1.5	105.8	YY	0.3	4.9	4.6	53.7	53.4	1.5	5.0	9.3	98.0	RG	56.7	8.2	7.3	57.6	0.9	9.3	5.0	7.8
20230101_07	100244	200245.0	40.0	M	104.8	0.2	GY	0.4	132.7	132.4	43.0	42.6	-0.2	8.0	7.6	87.4	RG	49.5	135.5	134.5	52.6	3.1	7.6	5.0	7.8
20230101_08	100030	200031.0	30.0	L	2.4	97.6	YY	0.5	45.3	44.7	31.0	30.5	2.4	4.0	8.0	92.0	RG	52.8	42.7	41.4	308.6	255.8	8.0	4.0	5.6
20230101_08	100082	200083.0	42.0	R	99.7	0.3	GG	0.3	62.5	62.0	40.8	40.5	-0.3	7.0	3.5	96.5	YR	0.7	72.6	48.3	43.4	42.7	3.5	7.0	3.8
20230101_08	100115	200116.0	42.0	L	3.3	96.7	YR	0.4	73.6	73.2	117.7	117.3	3.3	6.0	9.5	90.5	RG	56.4	101.4	100.9	120.1	63.7	9.5	6.0	6.2
20230101_08	100144	200145.0	38.0	R	2.3	97.7	YY	0.4	24.7	24.2	49.7	49.3	2.3	7.0	11.2	88.8	RG	45.3	28.3	27.2	47.7	2.4	11.2	7.0	8.9
20230101_08	100162	200164.0	38.0	M	0.4	104.6	YY	0.4	146.4	146.0	244.1	243.7	0.4	4.0	6.0	99.0	RG	54.2	145.1	143.7	254.3	200.1	6.0	4.0	5.6
20230101_09	100058	200059.0	46.0	M	0.4	63.5	YY	0.3	35.8	35.6	32.5	32.2	0.4	5.0	5.7	58.2	RG	24.8	36.5	35.7	32.2	7.4	5.7	5.0	5.3
